Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A review of hyperspectral image classification based on graph neural networks,Artificial Intelligence Review,,,,10.1007/s10462-025-11169-y,Xiaofeng ZhaoJunyi MaLei WangZhili ZhangYao DingXiongwu Xiao,2025,https://link.springer.com/article/10.1007/s10462-025-11169-y,Article
A novel graph convolution and frequency domain filtering approach for hyperspectral anomaly detection,Complex & Intelligent Systems,,,,10.1007/s40747-024-01738-z,Yang DingHao YanJingyuan HeJuanjuan YinA. Ruhan,2025,https://link.springer.com/article/10.1007/s40747-024-01738-z,Article
Multi-view graph representation learning for hyperspectral image classification with spectral–spatial graph neural networks,Neural Computing and Applications,,,,10.1007/s00521-023-09275-5,Refka HanachiAkrem SellamiImed Riadh FarahMauro Dalla Mura,2023,https://link.springer.com/article/10.1007/s00521-023-09275-5,Article
Hypergraph convolutional network for hyperspectral image classification,Neural Computing and Applications,,,,10.1007/s00521-023-08935-w,Qin XuJing LinBo JiangJinpei LiuBin Luo,2023,https://link.springer.com/article/10.1007/s00521-023-08935-w,Article
Dual-stream GNN fusion network for hyperspectral classification,Applied Intelligence,,,,10.1007/s10489-023-04960-3,Weiming LiQikang LiuShuaishuai FanCong’an XuHongyang Bai,2023,https://link.springer.com/article/10.1007/s10489-023-04960-3,Article
Spectral–spatial discriminative broad graph convolution networks for hyperspectral image classification,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-022-01680-x,Zhe WangJing LiTaotao ZhangShengzhi Yuan,2022,https://link.springer.com/article/10.1007/s13042-022-01680-x,Article
Cascaded hypergraph compression and reconstruction with semantic-aware segmentation and spectral unmixing for hyperspectral image classification,"Signal, Image and Video Processing",,,,10.1007/s11760-025-04972-1,Ming ZhaoYing LaiLufang LiLixiang MaChangqing LinAndré Kaup,2026,https://link.springer.com/article/10.1007/s11760-025-04972-1,Article
Hyperspectral Image Classification Based on 3D–2D Hybrid Convolution and Graph Attention Mechanism,Neural Processing Letters,,,,10.1007/s11063-024-11584-2,Hui ZhangKaiping TuHuanhuan LvRuiqin Wang,2024,https://link.springer.com/article/10.1007/s11063-024-11584-2,Article
Spectral-spatial dynamic graph convolutional network for hyperspectral image classification,Earth Science Informatics,,,,10.1007/s12145-023-01116-2,Rong ChenGuanghui LiChenglong Dai,2023,https://link.springer.com/article/10.1007/s12145-023-01116-2,Article
"GCGV: a dual-branch hybrid network integrating graph attention, CNNs, and vision transformers for enhanced hyperspectral image classification",Multimedia Systems,,,,10.1007/s00530-026-02300-2,Liang JiGemine VivoneGuanghui LiChenglong Dai,2026,https://link.springer.com/article/10.1007/s00530-026-02300-2,Article
Enhanced graph convolutional and attention fusion network for hyperspectral image classification,The Journal of Supercomputing,,,,10.1007/s11227-025-07445-x,Yuqi HaoYu SunJianfeng ZhengXiaohui LiXiaodong Yu,2025,https://link.springer.com/article/10.1007/s11227-025-07445-x,Article
Gated Graph Attention-based Crossover Snake (GGA-CS) Algorithm for Hyperspectral Image Classification,Annals of Data Science,,,,10.1007/s40745-024-00567-8,R. AblinG. Prabin,2024,https://link.springer.com/article/10.1007/s40745-024-00567-8,Article
Graph convolutional and random Fourier feature mapping for hyperspectral image clustering,The Journal of Supercomputing,,,,10.1007/s11227-024-06696-4,Xingyu LiJinglei Liu,2024,https://link.springer.com/article/10.1007/s11227-024-06696-4,Article
Multi-feature fusion network based on wavelet transform and multi-scale cross-response for hyperspectral image classification,Machine Vision and Applications,,,,10.1007/s00138-026-01787-z,Yi LiuYujie YanRongrui TengXinyu HeBinyang MaCaihong Mu,2026,https://link.springer.com/article/10.1007/s00138-026-01787-z,Article
FCFCNN: frequency coupled fusion convolutional neural network for hyperspectral and LiDAR data classification,Applied Intelligence,,,,10.1007/s10489-026-07126-z,Yin YinYining FengChuanming SongXianghai Wang,2026,https://link.springer.com/article/10.1007/s10489-026-07126-z,Article
Advances in deep neural network-based hyperspectral image classification and feature learning with limited samples: a survey,Applied Intelligence,,,,10.1007/s10489-024-06139-w,Farhan UllahIrfan UllahKhalil KhanSalabat KhanFarhan Amin,2025,https://link.springer.com/article/10.1007/s10489-024-06139-w,Article
"DF<span class=""mathjax-tex"">\(^2\)</span>Net: deformable fourier filter network for hyperspectral image classification",Applied Intelligence,,,,10.1007/s10489-025-06493-3,Chengcheng ZhongKai ZhangZitong ZhangYanan JiangChunlei Zhang,2025,https://link.springer.com/article/10.1007/s10489-025-06493-3,Article
A 3D-convolutional-autoencoder embedded Siamese-attention-network for classification of hyperspectral images,Neural Computing and Applications,,,,10.1007/s00521-024-09527-y,Pallavi RanjanRajeev KumarAshish Girdhar,2024,https://link.springer.com/article/10.1007/s00521-024-09527-y,Article
Dictionary cache transformer for hyperspectral image classification,Applied Intelligence,,,,10.1007/s10489-023-04934-5,Heng ZhouXin ZhangChunlei ZhangQiaoyu MaYanan Jiang,2023,https://link.springer.com/article/10.1007/s10489-023-04934-5,Article
A lightweight relation network for few-shots classification of hyperspectral images,Neural Computing and Applications,,,,10.1007/s00521-023-08306-5,Anshul MishraUpendra Pratap SinghKrishna Pratap Singh,2023,https://link.springer.com/article/10.1007/s00521-023-08306-5,Article
